No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
10,Jaylen Adams\adamsja01,PG,6-2,190,May 4 1996,us,R,St. Bonaventure
1,Justin Anderson\anderju01,SF,6-6,230,November 19 1993,us,3,Virginia
24,Kent Bazemore\bazemke01,SG,6-4,195,July 1 1989,us,6,Old Dominion
95,DeAndre' Bembry\bembrde01,SG,6-5,210,July 4 1994,us,2,Saint Joseph's
15,Vince Carter\cartevi01,PF,6-6,220,January 26 1977,us,20,UNC
20,John Collins\collijo01,PF,6-9,235,September 23 1997,us,1,Wake Forest
4,Deyonta Davis\davisde01,C,6-11,237,December 2 1996,us,2,Michigan State
14,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,5,USC
2,Tyler Dorsey\dorsety01,SG,6-5,183,February 18 1996,us,1,Oregon
5,Daniel Hamilton\hamilda02,SG,6-7,195,August 8 1995,us,1,UConn
3,Kevin Huerter\huertke01,SG,6-7,190,August 27 1998,us,R,Maryland
8,Isaac Humphries\humphis01,C,7-0,255,January 5 1998,au,R,Kentucky
5,B.J. Johnson\johnsbj01,SF,6-7,200,December 21 1995,us,R,Syracuse La Salle
25,Alex Len\lenal01,C,7-0,250,June 16 1993,ua,5,Maryland
7,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,8,Harvard University
18,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,6,Duke
22,Alex Poythress\poythal01,PF,6-9,235,September 6 1993,us,2,Kentucky
8,Jordan Sibert\siberjo01,SG,6-4,187,August 1 1992,us,R,Ohio State Dayton
6,Omari Spellman\spellom01,PF,6-8,245,July 21 1997,us,R,Villanova
12,Taurean Waller-Prince\princta02,SF,6-7,218,March 22 1994,us,2,Baylor
11,Trae Young\youngtr01,PG,6-1,180,September 19 1998,us,R,Oklahoma
45,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,6,UNC
