Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum\tatumja01,20,79,79,2455,466,1036,.450,116,311,.373,350,725,.483,.506,195,228,.855,70,407,477,168,84,57,122,168,1243
2,Kyrie Irving\irvinky01,26,67,67,2214,604,1241,.487,174,434,.401,430,807,.533,.557,214,245,.873,71,264,335,464,103,34,172,167,1596
3,Marcus Smart\smartma01,24,80,60,2200,239,567,.422,126,346,.364,113,221,.511,.533,104,129,.806,57,177,234,321,143,28,123,201,708
4,Marcus Morris\morrima03,29,75,53,2091,377,844,.447,146,389,.375,231,455,.508,.533,146,173,.844,76,382,458,109,43,25,92,181,1046
5,Al Horford\horfoal01,32,68,68,1973,387,723,.535,73,203,.360,314,520,.604,.586,78,95,.821,120,338,458,283,59,86,102,126,925
6,Jaylen Brown\brownja02,22,74,25,1913,368,792,.465,95,276,.344,273,516,.529,.525,133,202,.658,65,248,313,100,69,32,99,186,964
7,Gordon Hayward\haywago01,28,72,18,1863,296,635,.466,77,231,.333,219,404,.542,.527,156,187,.834,51,271,322,244,62,23,105,104,825
8,Terry Rozier\roziete01,24,79,14,1791,258,666,.387,119,337,.353,139,329,.422,.477,73,93,.785,32,275,307,231,68,21,68,101,708
9,Daniel Theis\theisda01,26,66,2,908,146,266,.549,26,67,.388,120,199,.603,.598,56,76,.737,87,138,225,68,21,42,33,161,374
10,Aron Baynes\baynear01,32,51,18,821,105,223,.471,21,61,.344,84,162,.519,.518,53,62,.855,88,152,240,57,12,34,40,125,284
11,Semi Ojeleye\ojelese01,24,56,3,594,67,158,.424,28,89,.315,39,69,.565,.513,24,39,.615,24,62,86,23,10,4,19,43,186
12,Brad Wanamaker\wanambr01,29,36,0,343,50,105,.476,16,39,.410,34,66,.515,.552,24,28,.857,3,38,41,56,12,2,19,34,140
13,Robert Williams\williro04,21,32,2,283,36,51,.706,0,0,,36,51,.706,.706,9,15,.600,27,54,81,7,9,40,10,36,81
14,Guerschon Yabusele\yabusgu01,23,41,1,251,35,77,.455,9,28,.321,26,49,.531,.513,15,22,.682,23,30,53,15,8,7,15,32,94
15,PJ Dozier\doziepj01,22,6,0,51,8,21,.381,2,8,.250,6,13,.462,.429,1,2,.500,6,11,17,5,2,0,0,2,19
16,R.J. Hunter\hunterj01,25,1,0,26,6,13,.462,4,10,.400,2,3,.667,.615,1,2,.500,1,2,3,3,1,0,0,3,17
17,Greg Monroe\monrogr01,28,2,0,5,3,5,.600,0,0,,3,5,.600,.600,0,0,,3,0,3,1,0,0,0,0,6
,Team Totals,,82,,19780,3451,7423,.465,1032,2829,.365,2419,4594,.527,.534,1282,1598,.802,804,2849,3653,2155,706,435,1052,1670,9216
