No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
31,Jarrett Allen\allenja01,C,6-11,237,April 21 1998,us,1,Texas
9,DeMarre Carroll\carrode01,PF,6-6,215,July 27 1986,us,9,Vanderbilt Missouri
33,Allen Crabbe\crabbal01,SG,6-5,212,April 9 1992,us,5,California
55,Mitch Creek\creekmi01,SF,6-5,216,April 27 1992,au,R,
17,Ed Davis\davised01,C,6-9,225,June 5 1989,us,8,UNC
8,Spencer Dinwiddie\dinwisp01,PG,6-5,215,April 6 1993,us,4,Colorado
6,Jared Dudley\dudleja01,PF,6-6,237,July 10 1985,us,11,Boston College
35,Kenneth Faried\farieke01,C,6-8,220,November 19 1989,us,7,Morehead State University
21,Treveon Graham\grahatr01,SG,6-5,223,October 28 1993,us,2,Virginia Commonwealth
12,Joe Harris\harrijo01,SG,6-6,220,September 6 1991,us,4,Virginia
24,Rondae Hollis-Jefferson\holliro01,SF,6-6,217,January 3 1995,us,3,Arizona
00,Rodions Kurucs\kurucro01,SF,6-9,228,February 5 1998,lv,R,
22,Caris LeVert\leverca01,SF,6-6,205,August 25 1994,us,2,Michigan
0,Tahjere McCall\mccalta01,SG,6-5,195,August 17 1994,us,R,Tennessee State
30,Džanan Musa\musadz01,SG,6-9,217,May 8 1999,ba,R,
13,Shabazz Napier\napiesh01,PG,6-0,175,July 14 1991,us,4,UConn
10,Theo Pinson\pinsoth01,SG,6-5,212,November 5 1995,us,R,UNC
1,D'Angelo Russell\russeda01,PG,6-4,198,February 23 1996,us,3,Ohio State
15,Alan Williams\willial03,PF,6-8,265,January 28 1993,us,3,UC Santa Barbara
