No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Dwayne Bacon\bacondw01,SG,6-6,221,August 30 1995,us,1,Florida State
5,Nicolas Batum\batumni01,SF,6-9,200,December 14 1988,fr,10,
8,Bismack Biyombo\biyombi01,C,6-8,255,August 28 1992,cd,7,
0,Miles Bridges\bridgmi02,SF,6-6,225,March 21 1998,us,R,Michigan State
31,Joe Chealey\chealjo01,PG,6-3,190,November 1 1995,us,R,College of Charleston
4,Devonte' Graham\grahade01,PG,6-1,185,February 22 1995,us,R,Kansas
41,Willy Hernangómez\hernawi01,C,6-11,240,May 27 1994,es,2,
44,Frank Kaminsky\kaminfr01,C,7-0,240,April 4 1993,us,3,Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,PF,6-6,232,September 26 1993,us,6,Kentucky
3,Jeremy Lamb\lambje01,SG,6-5,185,May 30 1992,us,6,UConn
6,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,7,Butler
55,J.P. Macura\macurjp01,SG,6-5,205,June 5 1995,us,R,Xavier
1,Malik Monk\monkma01,SG,6-3,200,February 4 1998,us,1,Kentucky
9,Tony Parker\parketo01,PG,6-2,185,May 17 1982,be,17,
15,Kemba Walker\walkeke02,PG,6-0,172,May 8 1990,us,7,UConn
2,Marvin Williams\willima02,PF,6-8,237,June 19 1986,us,13,UNC
40,Cody Zeller\zelleco01,C,7-0,240,October 5 1992,us,5,Indiana
