No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
32,Deng Adel\adelde01,SF,6-7,200,February 1 1997,ss,R,Louisville
4,Jaron Blossomgame\blossja01,SF,6-8,220,September 16 1993,us,R,Clemson
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,7,Colorado
3,Marquese Chriss\chrisma01,PF,6-9,240,July 2 1997,us,2,Washington
8,Jordan Clarkson\clarkjo01,SG,6-4,194,June 7 1992,us,4,Tulsa Missouri
15,Sam Dekker\dekkesa01,PF,6-9,230,May 6 1994,us,3,Wisconsin
18,Matthew Dellavedova\dellama01,PG,6-3,200,September 8 1990,au,5,Saint Mary's
9,Channing Frye\fryech01,C,7-0,255,May 17 1983,us,12,Arizona
55,Andrew Harrison\harrian01,PG,6-6,213,October 28 1994,us,2,Kentucky
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,10,IUPUI
10,John Holland\hollajo02,SF,6-5,205,November 6 1988,us,2,Boston University
1,Rodney Hood\hoodro01,SG,6-8,208,October 20 1992,us,4,Mississippi State Duke
21,Jalen Jones\jonesja04,SF,6-7,220,May 27 1993,us,1,Texas A&M
20,Brandon Knight\knighbr03,PG,6-2,195,December 2 1991,us,6,Kentucky
26,Kyle Korver\korveky01,PF,6-7,212,March 17 1981,us,15,Creighton
0,Kevin Love\loveke01,PF,6-8,251,September 7 1988,us,10,UCLA
3,Patrick McCaw\mccawpa01,SG,6-7,185,October 25 1995,us,2,UNLV
22,Larry Nance\nancela02,C,6-7,230,January 1 1993,us,3,Wyoming
12,David Nwaba\nwabada01,SG,6-5,219,January 14 1993,us,2,Cal Poly
16,Cedi Osman\osmande01,SF,6-7,215,April 8 1995,mk,1,
3,Cameron Payne\payneca01,PG,6-3,190,August 8 1994,us,3,Murray State
2,Collin Sexton\sextoco01,PG,6-1,190,January 4 1999,us,R,Alabama
3,Kobi Simmons\simmoko01,PG,6-5,166,July 4 1997,us,1,Arizona
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,14,
1,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,4,Michigan
13,Tristan Thompson\thomptr01,C,6-9,238,March 13 1991,ca,7,Texas
41,Ante Žižić\zizican01,C,6-10,254,January 4 1997,hr,1,
