Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Collin Sexton\sextoco01,20,82,72,2605,519,1206,.430,119,296,.402,400,910,.440,.480,214,255,.839,57,179,236,243,44,6,185,186,1371
2,Cedi Osman\osmande01,23,76,75,2444,360,844,.427,130,374,.348,230,470,.489,.504,141,181,.779,45,312,357,195,60,11,114,195,991
3,Jordan Clarkson\clarkjo01,26,81,0,2214,529,1180,.448,144,445,.324,385,735,.524,.509,162,192,.844,82,188,270,196,57,13,135,112,1364
4,Larry Nance\nancela02,26,67,30,1795,249,479,.520,33,98,.337,216,381,.567,.554,96,134,.716,168,384,552,214,100,40,97,192,627
5,Rodney Hood\hoodro01,26,45,45,1234,194,454,.427,55,152,.362,139,302,.460,.488,104,114,.912,18,94,112,92,38,5,36,101,547
6,Tristan Thompson\thomptr01,27,43,40,1198,201,380,.529,0,0,,201,380,.529,.529,68,106,.642,173,265,438,86,28,16,59,89,470
7,Ante Žižić\zizican01,22,59,25,1082,183,331,.553,0,0,,183,331,.553,.553,93,132,.705,108,212,320,53,13,22,61,113,459
8,David Nwaba\nwabada01,26,51,14,984,126,262,.481,24,75,.320,102,187,.545,.527,58,85,.682,41,122,163,54,36,17,29,106,334
9,Alec Burks\burksal01,27,34,24,979,136,340,.400,45,119,.378,91,221,.412,.466,79,98,.806,26,160,186,98,25,16,46,62,396
10,Matthew Dellavedova\dellama01,28,36,0,715,92,223,.413,40,119,.336,52,104,.500,.502,38,48,.792,6,61,67,152,12,2,57,66,262
11,Brandon Knight\knighbr03,27,27,26,618,88,213,.413,36,97,.371,52,116,.448,.498,18,23,.783,9,41,50,62,19,2,25,48,230
12,Kevin Love\loveke01,30,22,21,598,109,283,.385,53,147,.361,56,136,.412,.479,103,114,.904,33,206,239,48,6,5,42,54,374
13,Jaron Blossomgame\blossja01,25,27,4,439,47,106,.443,10,39,.256,37,67,.552,.491,10,13,.769,26,72,98,13,7,8,11,20,114
14,Marquese Chriss\chrisma01,21,27,2,395,56,146,.384,15,57,.263,41,89,.461,.435,26,38,.684,33,81,114,16,15,7,24,64,153
15,George Hill\hillge01,32,13,13,344,55,107,.514,13,28,.464,42,79,.532,.575,17,20,.850,12,15,27,36,12,1,20,35,140
16,Nik Stauskas\stausni01,25,24,0,342,40,109,.367,27,63,.429,13,46,.283,.491,25,28,.893,8,39,47,19,7,3,11,19,132
17,Channing Frye\fryech01,35,36,6,341,43,117,.368,32,79,.405,11,38,.289,.504,11,14,.786,4,48,52,20,6,5,13,44,129
18,Kyle Korver\korveky01,37,16,0,251,35,76,.461,25,54,.463,10,22,.455,.625,13,16,.813,0,29,29,17,3,2,17,22,108
19,J.R. Smith\smithjr01,33,11,4,222,27,79,.342,12,39,.308,15,40,.375,.418,8,10,.800,0,18,18,21,11,3,11,19,74
20,Jalen Jones\jonesja04,25,16,0,214,26,62,.419,10,28,.357,16,34,.471,.500,19,27,.704,11,23,34,7,9,2,8,27,81
21,Deng Adel\adelde01,21,19,3,194,11,36,.306,6,23,.261,5,13,.385,.389,4,4,1.000,3,16,19,5,1,4,6,13,32
22,Cameron Payne\payneca01,24,9,1,176,27,55,.491,9,25,.360,18,30,.600,.573,11,16,.688,3,16,19,23,8,3,11,15,74
23,Sam Dekker\dekkesa01,24,9,5,169,22,48,.458,5,13,.385,17,35,.486,.510,8,10,.800,9,24,33,9,11,0,5,13,57
24,Andrew Harrison\harrian01,24,10,0,144,12,39,.308,3,14,.214,9,25,.360,.346,16,16,1.000,4,11,15,17,4,2,10,26,43
25,Patrick McCaw\mccawpa01,23,3,0,53,2,9,.222,1,4,.250,1,5,.200,.278,0,0,,0,3,3,2,2,0,3,1,5
26,Kobi Simmons\simmoko01,21,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
27,John Holland\hollajo02,30,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19755,3189,7184,.444,847,2388,.355,2342,4796,.488,.503,1342,1694,.792,879,2619,3498,1698,534,195,1106,1642,8567
