No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
37,Kostas Antetokounmpo\antetko01,PF,6-10,200,November 20 1997,gr,R,Dayton
5,J.J. Barea\bareajo01,PG,5-10,185,June 26 1984,pr,12,Northeastern University
40,Harrison Barnes\barneha02,PF,6-8,225,May 30 1992,us,6,UNC
45,Ryan Broekhoff\broekry01,SG,6-6,215,August 23 1990,au,R,Valparaiso
13,Jalen Brunson\brunsja01,PG,6-1,190,August 31 1996,us,R,Villanova
23,Trey Burke\burketr01,PG,6-0,175,November 12 1992,us,5,Michigan
77,Luka Dončić\doncilu01,SG,6-7,218,February 28 1999,si,R,
10,Dorian Finney-Smith\finnedo01,SF,6-7,220,May 4 1993,us,2,Florida
11,Tim Hardaway\hardati02,SG,6-5,205,March 16 1992,us,5,Michigan
34,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,14,Wisconsin
44,Justin Jackson\jacksju01,SF,6-7,210,March 28 1995,us,1,UNC
6,DeAndre Jordan\jordade01,C,6-11,265,July 21 1988,us,10,Texas A&M
42,Maxi Kleber\klebima01,PF,6-10,240,January 29 1992,de,1,
1,Courtney Lee\leeco01,SG,6-5,215,October 3 1985,us,10,Western Kentucky
3,Daryl Macon\maconda01,SG,6-2,185,November 29 1995,us,R,Arkansas
23,Wesley Matthews\matthwe02,SF,6-4,220,October 14 1986,us,9,Marquette
50,Salah Mejri\mejrisa01,C,7-2,235,June 15 1986,tn,3,
41,Dirk Nowitzki\nowitdi01,PF,7-0,245,June 19 1978,de,20,
7,Dwight Powell\poweldw01,C,6-10,240,July 20 1991,ca,4,Stanford
1,Dennis Smith\smithde03,PG,6-2,195,November 25 1997,us,1,NC State
26,Ray Spalding\spaldra01,PF,6-10,215,March 11 1997,us,R,Louisville
