No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
23,DeVaughn Akoon-Purcell\akoonde01,SG,6-6,200,June 5 1993,us,R,Illinois State
5,Will Barton\bartowi01,SF,6-5,175,January 6 1991,us,6,Memphis
25,Malik Beasley\beaslma01,SG,6-4,198,November 26 1996,us,2,Florida State
3,Torrey Craig\craigto01,SF,6-7,215,December 19 1990,us,1,USC Upstate
6,Brandon Goodwin\goodwbr01,PG,6-0,180,October 2 1995,us,R,Central Florida Florida Gulf Coast
14,Gary Harris\harriga01,SG,6-4,205,September 14 1994,us,4,Michigan State
41,Juan Hernangómez\hernaju01,PF,6-9,220,September 28 1995,es,2,
15,Nikola Jokić\jokicni01,C,7-0,253,February 19 1995,rs,3,
20,Tyler Lydon\lydonty01,PF,6-10,225,April 9 1996,us,1,Syracuse
7,Trey Lyles\lylestr01,PF,6-9,234,November 5 1995,ca,3,Kentucky
4,Paul Millsap\millspa01,PF,6-7,250,February 10 1985,us,12,Louisiana Tech
11,Monte Morris\morrimo01,PG,6-2,175,June 27 1995,us,1,Iowa State
27,Jamal Murray\murraja01,PG,6-4,201,February 23 1997,ca,2,Kentucky
24,Mason Plumlee\plumlma01,C,6-11,238,March 5 1990,us,5,Duke
0,Isaiah Thomas\thomais02,SG,5-9,185,February 7 1989,us,7,Washington
8,Jarred Vanderbilt\vandeja01,PF,6-9,214,April 3 1999,us,R,Kentucky
45,Thomas Welsh\welshth01,C,7-0,255,February 3 1996,us,R,UCLA
34,Nick Young\youngni01,SG,6-7,210,June 1 1985,us,11,USC
