No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Bruce Brown\brownbr01,SG,6-4,202,August 15 1996,us,R,Miami (FL)
25,Reggie Bullock\bullore01,SG,6-6,200,March 16 1991,us,5,UNC
81,José Calderón\caldejo01,PG,6-3,200,September 28 1981,es,13,
0,Andre Drummond\drumman01,C,6-10,279,August 10 1993,us,6,UConn
8,Henry Ellenson\ellenhe01,PF,6-10,240,January 13 1997,us,2,Marquette
20,Wayne Ellington\ellinwa01,SG,6-4,200,November 29 1987,us,9,UNC
9,Langston Galloway\gallola01,SG,6-1,200,December 9 1991,us,4,Saint Joseph's
23,Blake Griffin\griffbl01,PF,6-9,250,March 16 1989,us,8,Oklahoma
1,Reggie Jackson\jacksre01,PG,6-3,208,April 16 1990,it,7,Boston College
7,Stanley Johnson\johnsst04,SF,6-6,245,May 29 1996,us,3,Arizona
5,Luke Kennard\kennalu01,SG,6-5,206,June 24 1996,us,1,Duke
30,Jon Leuer\leuerjo01,PF,6-10,228,May 14 1989,us,7,Wisconsin
18,Zach Lofton\loftoza01,SG,6-4,180,November 18 1992,us,R,Illinois State Texas Southern New Mexico State
24,Kalin Lucas\lucaska01,PG,6-1,195,May 24 1989,us,1,Michigan State
7,Thon Maker\makerth01,PF,7-0,221,February 25 1997,ss,2,
19,Sviatoslav Mykhailiuk\mykhasv01,SF,6-7,205,June 10 1997,ua,R,Kansas
27,Zaza Pachulia\pachuza01,C,6-11,270,February 10 1984,ge,15,
22,Glenn Robinson\robingl02,SF,6-6,222,January 8 1994,us,4,Michigan
14,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,8,Wake Forest
13,Khyri Thomas\thomakh01,SG,6-3,210,May 8 1996,us,R,Creighton
