Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andre Drummond\drumman01,25,79,79,2647,561,1052,.533,5,38,.132,556,1014,.548,.536,243,412,.590,423,809,1232,112,136,138,175,272,1370
2,Blake Griffin\griffbl01,29,75,75,2622,619,1341,.462,189,522,.362,430,819,.525,.532,414,550,.753,100,465,565,402,52,28,253,199,1841
3,Reggie Jackson\jacksre01,28,82,82,2289,441,1047,.421,174,471,.369,267,576,.464,.504,204,236,.864,45,171,216,344,55,9,148,208,1260
4,Langston Galloway\gallola01,27,80,4,1745,228,587,.388,135,380,.355,93,207,.449,.503,81,96,.844,49,122,171,85,37,8,24,135,672
5,Bruce Brown\brownbr01,22,74,56,1449,125,314,.398,24,93,.258,101,221,.457,.436,45,60,.750,48,137,185,91,40,36,46,178,319
6,Luke Kennard\kennalu01,22,63,10,1437,228,520,.438,106,269,.394,122,251,.486,.540,51,61,.836,12,171,183,114,26,10,57,92,613
7,Reggie Bullock\bullore01,27,44,44,1355,182,441,.413,114,294,.388,68,147,.463,.542,56,64,.875,20,103,123,109,24,5,54,79,534
8,Ish Smith\smithis01,30,56,0,1251,205,489,.419,44,135,.326,161,354,.455,.464,47,62,.758,23,122,145,203,28,11,61,109,501
9,Stanley Johnson\johnsst04,22,48,7,961,133,349,.381,51,181,.282,82,168,.488,.454,41,51,.804,25,150,175,60,48,13,55,92,358
10,Zaza Pachulia\pachuza01,34,68,3,878,85,193,.440,0,4,.000,85,189,.450,.440,97,124,.782,99,166,265,91,31,17,57,151,267
11,Wayne Ellington\ellinwa01,31,28,26,764,115,273,.421,81,217,.373,34,56,.607,.570,25,33,.758,8,52,60,43,30,3,26,52,336
12,José Calderón\caldejo01,37,49,0,632,45,120,.375,14,57,.246,31,63,.492,.433,9,11,.818,11,49,60,115,16,3,35,64,113
13,Glenn Robinson\robingl02,25,47,18,610,74,176,.420,18,62,.290,56,114,.491,.472,32,40,.800,17,54,71,21,14,8,18,45,198
14,Thon Maker\makerth01,21,29,5,563,50,134,.373,23,75,.307,27,59,.458,.459,36,47,.766,24,82,106,27,11,33,24,50,159
15,Jon Leuer\leuerjo01,29,41,1,402,66,113,.584,1,11,.091,65,102,.637,.588,23,31,.742,27,70,97,14,12,4,23,60,156
16,Khyri Thomas\thomakh01,22,26,0,195,22,69,.319,10,35,.286,12,34,.353,.391,7,11,.636,4,16,20,8,7,5,4,22,61
17,Henry Ellenson\ellenhe01,22,2,0,25,4,10,.400,2,4,.500,2,6,.333,.500,2,2,1.000,0,9,9,1,0,0,0,2,12
18,Sviatoslav Mykhailiuk\mykhasv01,21,3,0,20,2,8,.250,2,4,.500,0,4,.000,.375,0,0,,1,1,2,4,1,0,1,0,6
19,Kalin Lucas\lucaska01,29,1,0,6,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,3,3,1,0,0,0,1,2
20,Zach Lofton\loftoza01,26,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,1,0,1,0,0
,Team Totals,,82,,19855,3185,7238,.440,993,2854,.348,2192,4384,.500,.509,1415,1893,.747,936,2752,3688,1845,569,331,1135,1811,8778
