No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Jordan Bell\belljo01,C,6-8,216,January 7 1995,us,1,Oregon
12,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,13,Utah
4,Quinn Cook\cookqu01,PG,6-1,179,March 23 1993,us,2,Duke
0,DeMarcus Cousins\couside01,C,6-10,270,August 13 1990,us,8,Kentucky
30,Stephen Curry\curryst01,PG,6-3,190,March 14 1988,us,9,Davidson
32,Marcus Derrickson\derrima01,PF,6-7,249,February 1 1996,us,R,Georgetown
35,Kevin Durant\duranke01,SF,6-10,240,September 29 1988,us,11,Texas
10,Jacob Evans\evansja02,SG,6-4,210,June 18 1997,us,R,Cincinnati
23,Draymond Green\greendr01,PF,6-6,230,March 4 1990,us,6,Michigan State
9,Andre Iguodala\iguodan01,SF,6-6,215,January 28 1984,us,14,Arizona
21,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,8,
15,Damian Jones\jonesda03,C,6-11,245,June 30 1995,us,2,Vanderbilt
1,Damion Lee\leeda03,SG,6-5,210,October 21 1992,us,1,Drexel Louisville
34,Shaun Livingston\livinsh01,PG,6-7,192,September 11 1985,us,13,
5,Kevon Looney\looneke01,C,6-9,220,February 6 1996,us,3,UCLA
28,Alfonzo McKinnie\mckinal01,SF,6-7,215,September 17 1992,us,1,Green Bay
11,Klay Thompson\thompkl01,SG,6-6,215,February 8 1990,us,7,Washington State
