Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden\hardeja01,29,78,78,2867,843,1909,.442,378,1028,.368,465,881,.528,.541,754,858,.879,66,452,518,586,158,58,387,244,2818
2,P.J. Tucker\tuckepj01,33,82,82,2802,207,523,.396,146,387,.377,61,136,.449,.535,41,59,.695,121,358,479,96,132,39,63,252,601
3,Clint Capela\capelca01,24,67,67,2249,474,732,.648,0,0,,474,732,.648,.648,166,261,.636,298,550,848,96,44,102,94,168,1114
4,Eric Gordon\gordoer01,30,68,53,2158,384,938,.409,216,600,.360,168,338,.497,.525,119,152,.783,17,131,148,129,41,27,90,143,1103
5,Chris Paul\paulch01,33,58,58,1857,302,720,.419,127,355,.358,175,365,.479,.508,175,203,.862,36,229,265,473,114,18,152,146,906
6,Gerald Green\greenge01,33,73,0,1473,231,578,.400,156,441,.354,75,137,.547,.535,57,68,.838,30,152,182,40,33,27,55,126,675
7,Austin Rivers\riverau01,26,47,13,1345,156,378,.413,71,221,.321,85,157,.541,.507,25,49,.510,15,76,91,109,29,13,32,135,408
8,Danuel House\houseda01,25,39,13,979,118,252,.468,74,178,.416,44,74,.595,.615,56,71,.789,25,115,140,40,21,11,35,80,366
9,James Ennis\ennisja01,28,40,25,949,104,211,.493,44,120,.367,60,91,.659,.597,42,58,.724,37,80,117,27,38,16,23,111,294
10,Gary Clark\clarkga01,24,51,2,641,50,151,.331,41,138,.297,9,13,.692,.467,7,7,1.000,24,92,116,18,20,26,7,47,148
11,Kenneth Faried\farieke01,29,25,13,610,131,223,.587,7,20,.350,124,203,.611,.603,54,83,.651,82,124,206,18,15,19,27,74,323
12,Nenê Hilário\hilarne01,36,42,2,546,60,116,.517,0,3,.000,60,113,.531,.517,31,47,.660,34,89,123,26,18,15,11,87,151
13,Iman Shumpert\shumpim01,28,20,1,382,34,98,.347,21,71,.296,13,27,.481,.454,2,4,.500,8,46,54,21,12,4,12,35,91
14,Carmelo Anthony\anthoca01,34,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134
15,Isaiah Hartenstein\harteis01,20,28,0,221,20,41,.488,2,6,.333,18,35,.514,.512,11,14,.786,21,26,47,15,7,12,13,56,53
16,Michael Carter-Williams\cartemi01,27,16,1,145,25,61,.410,7,19,.368,18,42,.429,.467,12,26,.462,3,10,13,21,9,6,10,27,69
17,Brandon Knight\knighbr03,27,12,0,118,11,47,.234,5,32,.156,6,15,.400,.287,9,11,.818,1,8,9,9,2,0,5,14,36
18,Marquese Chriss\chrisma01,21,16,0,104,11,34,.324,1,15,.067,10,19,.526,.338,6,7,.857,7,21,28,6,2,4,12,17,29
19,James Nunnally\nunnaja01,28,2,0,38,3,13,.231,3,12,.250,0,1,.000,.346,0,0,,0,1,1,2,0,0,0,6,9
20,Chris Chiozza\chiozch01,23,7,0,33,2,8,.250,2,5,.400,0,3,.000,.375,0,0,,1,3,4,4,1,1,1,2,6
21,Vince Edwards\edwarvi01,22,2,0,16,1,4,.250,1,4,.250,0,0,,.375,0,0,,1,1,2,0,0,0,0,0,3
22,Terrence Jones\joneste01,27,2,0,5,1,4,.250,0,2,.000,1,2,.500,.250,0,1,.000,0,4,4,0,0,0,1,1,2
23,Zhou Qi\qizh01,23,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2
,Team Totals,,82,,19830,3218,7163,.449,1323,3721,.356,1895,3442,.551,.542,1582,2001,.791,836,2613,3449,1741,700,405,1094,1803,9341
