Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bojan Bogdanović\bogdabo02,29,81,81,2573,522,1051,.497,164,386,.425,358,665,.538,.575,246,305,.807,33,300,333,161,69,1,134,138,1454
2,Thaddeus Young\youngth01,30,81,81,2489,443,841,.527,51,146,.349,392,695,.564,.557,87,135,.644,192,331,523,204,123,36,123,194,1024
3,Darren Collison\collida01,31,76,76,2143,308,659,.467,79,194,.407,229,465,.492,.527,158,190,.832,36,196,232,459,110,9,125,138,853
4,Myles Turner\turnemy01,22,74,74,2119,380,780,.487,76,196,.388,304,584,.521,.536,148,201,.736,101,430,531,115,60,199,100,195,984
5,Cory Joseph\josepco01,27,82,9,2063,226,548,.412,55,171,.322,171,377,.454,.463,30,43,.698,39,240,279,321,94,22,80,131,537
6,Domantas Sabonis\sabondo01,22,74,5,1838,413,700,.590,9,17,.529,404,683,.592,.596,208,291,.715,186,504,690,212,48,30,160,239,1043
7,Tyreke Evans\evansty01,29,69,18,1402,257,660,.389,77,216,.356,180,444,.405,.448,115,160,.719,33,168,201,166,58,18,118,117,706
8,Doug McDermott\mcderdo01,27,77,1,1340,207,422,.491,84,206,.408,123,216,.569,.590,66,79,.835,17,92,109,67,18,8,42,104,564
9,Victor Oladipo\oladivi01,26,36,36,1147,249,588,.423,74,216,.343,175,372,.470,.486,103,141,.730,21,181,202,186,60,11,82,72,675
10,Wesley Matthews\matthwe02,32,23,23,725,81,210,.386,48,130,.369,33,80,.413,.500,41,48,.854,11,54,65,55,20,4,31,56,251
11,Aaron Holiday\holidaa01,22,50,0,646,105,262,.401,43,127,.339,62,135,.459,.483,41,50,.820,5,62,67,87,21,13,40,71,294
12,T.J. Leaf\leaftj01,21,58,1,522,99,183,.541,8,31,.258,91,152,.599,.563,19,31,.613,43,82,125,24,9,19,12,35,225
13,Kyle O'Quinn\oquinky01,28,45,3,371,69,136,.507,1,12,.083,68,124,.548,.511,17,21,.810,29,90,119,56,9,25,31,68,156
14,Edmond Sumner\sumneed01,23,23,2,210,22,64,.344,7,27,.259,15,37,.405,.398,15,24,.625,9,15,24,10,12,5,10,26,66
15,Alize Johnson\johnsal02,22,14,0,64,4,16,.250,1,2,.500,3,14,.214,.281,4,8,.500,4,15,19,1,1,3,0,7,13
16,Davon Reed\reedda01,23,10,0,47,5,12,.417,2,4,.500,3,8,.375,.500,0,0,,2,4,6,3,1,0,1,3,12
17,Ike Anigbogu\anigbik01,20,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0
,Team Totals,,82,,19705,3390,7135,.475,779,2081,.374,2611,5054,.517,.530,1298,1727,.752,762,2766,3528,2128,713,404,1122,1594,8857
