No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Patrick Beverley\beverpa01,PG,6-1,185,July 12 1988,us,6,Arkansas
11,Avery Bradley\bradlav01,SG,6-3,180,November 26 1990,us,8,Texas
22,Wilson Chandler\chandwi01,SF,6-8,235,May 10 1987,us,10,DePaul
31,Ángel Delgado\delgaan01,C,6-10,245,November 20 1994,do,R,Seton Hall
8,Danilo Gallinari\gallida01,SF,6-10,233,August 8 1988,it,9,
2,Shai Gilgeous-Alexander\gilgesh01,PG,6-5,181,July 12 1998,ca,R,Kentucky
13,Marcin Gortat\gortama01,C,6-11,240,February 17 1984,pl,11,
4,JaMychal Green\greenja01,PF,6-8,227,June 21 1990,us,4,Alabama
5,Montrezl Harrell\harremo01,C,6-7,240,January 26 1994,us,3,Louisville
34,Tobias Harris\harrito02,PF,6-8,235,July 15 1992,us,7,Tennessee
51,Boban Marjanović\marjabo01,C,7-4,290,August 15 1988,rs,3,
12,Luc Mbah a Moute\mbahalu01,PF,6-8,230,September 9 1986,cm,10,UCLA
15,Johnathan Motley\motlejo01,PF,6-8,230,May 4 1995,us,1,Baylor
10,Jerome Robinson\robinje01,SG,6-4,190,February 22 1997,us,R,Boston College
30,Mike Scott\scottmi01,PF,6-7,237,July 16 1988,us,6,Virginia
20,Landry Shamet\shamela01,SG,6-4,188,March 13 1997,us,R,Wichita State
17,Garrett Temple\templga01,SG,6-5,195,May 8 1986,us,8,LSU
4,Miloš Teodosić\teodomi01,PG,6-5,196,March 19 1987,rs,1,
0,Sindarius Thornwell\thornsi01,SG,6-5,215,November 15 1994,us,1,South Carolina
9,Tyrone Wallace\wallaty01,PG,6-5,198,June 10 1994,us,1,California
23,Lou Williams\willilo02,SG,6-1,175,October 27 1986,us,13,
40,Ivica Zubac\zubaciv01,C,7-0,240,March 18 1997,ba,2,
