No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo\antetgi01,PF,6-11,242,December 6 1994,gr,5,
6,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,8,Kentucky
13,Malcolm Brogdon\brogdma01,SG,6-5,229,December 11 1992,us,2,Virginia
23,Sterling Brown\brownst02,SG,6-5,232,February 10 1995,us,1,SMU
7,Isaiah Canaan\canaais01,PG,6-0,201,May 21 1991,us,5,Murray State
50,Bonzie Colson\colsobo01,SF,6-6,224,January 12 1996,us,R,Notre Dame
24,Pat Connaughton\connapa01,SG,6-5,209,January 6 1993,us,3,Notre Dame
8,Matthew Dellavedova\dellama01,PG,6-3,200,September 8 1990,au,5,Saint Mary's
9,Donte DiVincenzo\divindo01,SG,6-4,203,January 31 1997,us,R,Villanova
0,Trevon Duval\duvaltr01,PG,6-2,189,August 3 1998,us,R,Duke
12,Tim Frazier\fraziti01,PG,6-0,170,November 1 1990,us,4,Penn State
17,Pau Gasol\gasolpa01,C,7-0,250,July 6 1980,es,17,
31,John Henson\hensojo01,C,6-9,219,December 28 1990,us,6,UNC
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,10,IUPUI
77,Ersan İlyasova\ilyaser01,PF,6-9,235,May 15 1987,tr,10,
11,Brook Lopez\lopezbr01,C,7-0,270,April 1 1988,us,10,Stanford
7,Thon Maker\makerth01,C,7-0,221,February 25 1997,ss,2,
22,Khris Middleton\middlkh01,SF,6-7,222,August 12 1991,us,6,Texas A&M
41,Nikola Mirotić\mirotni01,PF,6-10,250,February 11 1991,me,4,
30,Jaylen Morris\morrija01,SG,6-5,185,September 19 1995,us,1,Molloy
20,Jason Smith\smithja02,PF,7-0,240,March 2 1986,us,10,Colorado State
21,Tony Snell\snellto01,SF,6-6,213,November 10 1991,us,5,New Mexico
5,D.J. Wilson\wilsodj01,PF,6-10,231,February 19 1996,us,1,Michigan
35,Christian Wood\woodch01,PF,6-10,214,September 27 1995,us,2,UNLV
