Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Khris Middleton\middlkh01,27,77,77,2393,506,1148,.441,179,474,.378,327,674,.485,.519,216,258,.837,50,411,461,331,80,7,174,172,1407
2,Giannis Antetokounmpo\antetgi01,24,72,72,2358,721,1247,.578,52,203,.256,669,1044,.641,.599,500,686,.729,159,739,898,424,92,110,268,232,1994
3,Brook Lopez\lopezbr01,30,81,81,2322,355,786,.452,187,512,.365,168,274,.613,.571,112,133,.842,33,363,396,98,51,179,82,189,1009
4,Eric Bledsoe\bledser01,29,78,78,2272,470,971,.484,124,377,.329,346,594,.582,.548,177,236,.750,82,280,362,430,116,29,165,156,1241
5,Malcolm Brogdon\brogdma01,26,64,64,1832,378,748,.505,104,244,.426,274,504,.544,.575,141,152,.928,65,223,288,205,46,13,91,102,1001
6,Tony Snell\snellto01,27,74,12,1304,163,361,.452,81,204,.397,82,157,.522,.564,37,42,.881,29,128,157,68,26,18,23,90,444
7,Pat Connaughton\connapa01,26,61,2,1261,163,350,.466,66,200,.330,97,150,.647,.560,29,40,.725,61,197,258,122,33,25,33,81,421
8,Ersan İlyasova\ilyaser01,31,67,7,1231,167,381,.438,58,160,.363,109,221,.493,.514,61,74,.824,94,208,302,52,32,20,48,172,453
9,Sterling Brown\brownst02,23,58,7,1034,145,312,.465,53,147,.361,92,165,.558,.550,29,42,.690,29,155,184,84,25,8,46,88,372
10,George Hill\hillge01,32,47,0,958,115,269,.428,35,125,.280,80,144,.556,.493,53,65,.815,27,94,121,99,40,7,31,67,318
11,D.J. Wilson\wilsodj01,22,48,3,882,104,251,.414,46,127,.362,58,124,.468,.506,26,47,.553,45,177,222,52,18,20,32,85,280
12,Donte DiVincenzo\divindo01,22,27,0,411,50,124,.403,22,83,.265,28,41,.683,.492,9,12,.750,16,49,65,31,13,6,19,38,131
13,Thon Maker\makerth01,21,35,0,409,59,134,.440,26,78,.333,33,56,.589,.537,20,37,.541,17,79,96,18,10,18,9,55,164
14,Nikola Mirotić\mirotni01,27,14,3,320,56,135,.415,31,87,.356,25,48,.521,.530,20,23,.870,14,61,75,20,10,9,11,21,163
15,Tim Frazier\fraziti01,28,12,2,211,28,66,.424,10,24,.417,18,42,.429,.500,9,13,.692,9,22,31,42,5,1,16,19,75
16,John Henson\hensojo01,28,14,0,188,31,67,.463,11,31,.355,20,36,.556,.545,6,10,.600,16,55,71,14,7,11,12,16,79
17,Bonzie Colson\colsobo01,23,8,2,98,13,39,.333,5,21,.238,8,18,.444,.397,8,9,.889,8,22,30,3,5,1,3,3,39
18,Matthew Dellavedova\dellama01,28,12,0,97,6,19,.316,4,11,.364,2,8,.250,.421,4,4,1.000,0,10,10,29,2,0,11,9,20
19,Christian Wood\woodch01,23,13,0,62,12,25,.480,3,5,.600,9,20,.450,.540,10,15,.667,4,16,20,2,0,0,3,3,37
20,Jason Smith\smithja02,32,6,0,40,4,13,.308,3,9,.333,1,4,.250,.423,2,2,1.000,3,8,11,1,2,2,5,6,13
21,Isaiah Canaan\canaais01,27,4,0,31,2,6,.333,2,5,.400,0,1,.000,.500,0,0,,1,3,4,3,0,1,2,2,6
22,Pau Gasol\gasolpa01,38,3,0,30,1,6,.167,1,3,.333,0,3,.000,.250,1,2,.500,0,10,10,2,0,1,2,1,4
23,Jaylen Morris\morrija01,23,4,0,29,4,10,.400,1,3,.333,3,7,.429,.450,1,2,.500,0,5,5,4,2,0,1,1,10
24,Trevon Duval\duvaltr01,20,3,0,6,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,2,0,0,0,0,5
,Team Totals,,82,,19780,3555,7471,.476,1105,3134,.353,2450,4337,.565,.550,1471,1904,.773,762,3316,4078,2136,615,486,1137,1608,9686
