Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Karl-Anthony Towns\townska01,23,77,77,2545,681,1314,.518,142,355,.400,539,959,.562,.572,376,450,.836,263,691,954,259,67,125,240,292,1880
2,Andrew Wiggins\wiggian01,23,73,73,2543,498,1209,.412,118,348,.339,380,861,.441,.461,207,296,.699,83,269,352,184,70,48,138,153,1321
3,Josh Okogie\okogijo01,20,74,52,1757,196,508,.386,60,215,.279,136,293,.464,.445,118,162,.728,41,177,218,91,88,33,63,166,570
4,Taj Gibson\gibsota01,33,70,57,1686,304,537,.566,11,34,.324,293,503,.583,.576,134,177,.757,172,286,458,84,53,39,73,186,753
5,Dario Šarić\saricda01,24,68,28,1627,256,564,.454,97,253,.383,159,311,.511,.540,105,120,.875,105,266,371,101,41,6,72,143,714
6,Tyus Jones\jonesty01,22,68,23,1560,185,446,.415,40,126,.317,145,320,.453,.460,58,69,.841,23,111,134,327,81,5,47,78,468
7,Derrick Rose\rosede01,30,51,13,1392,363,753,.482,54,146,.370,309,607,.509,.518,137,160,.856,33,107,140,220,31,12,82,57,917
8,Jeff Teague\teaguje01,30,42,41,1264,176,416,.423,35,105,.333,141,311,.453,.465,123,153,.804,16,90,106,343,43,18,97,90,510
9,Anthony Tolliver\tollian01,33,65,0,1079,99,259,.382,81,215,.377,18,44,.409,.539,47,60,.783,15,162,177,46,17,21,36,91,326
10,Gorgui Dieng\dienggo01,29,76,2,1031,189,377,.501,19,56,.339,170,321,.530,.527,88,106,.830,81,230,311,72,48,41,57,134,485
11,Robert Covington\covinro01,28,22,22,763,106,245,.433,55,148,.372,51,97,.526,.545,51,66,.773,21,105,126,32,50,24,25,81,318
12,Jerryd Bayless\bayleje01,30,34,6,657,82,230,.357,29,98,.296,53,132,.402,.420,16,28,.571,11,51,62,119,18,2,32,56,209
13,Keita Bates-Diop\bateske01,23,30,3,503,60,142,.423,13,52,.250,47,90,.522,.468,18,28,.643,16,67,83,17,18,14,14,29,151
14,Luol Deng\denglu01,33,22,2,392,59,118,.500,14,44,.318,45,74,.608,.559,25,35,.714,20,53,73,18,15,8,14,24,157
15,Jimmy Butler\butleji01,29,10,10,361,74,157,.471,17,45,.378,57,112,.509,.525,48,61,.787,16,36,52,43,24,10,14,18,213
16,Cameron Reynolds\reynoca01,23,19,0,259,33,78,.423,21,51,.412,12,27,.444,.558,8,9,.889,4,27,31,13,6,2,5,26,95
17,C.J. Williams\willicj01,28,15,0,128,17,35,.486,5,16,.313,12,19,.632,.557,0,1,.000,1,7,8,12,6,0,5,16,39
18,Jared Terrell\terreja01,23,14,0,111,12,39,.308,4,17,.235,8,22,.364,.359,3,6,.500,1,5,6,12,3,2,10,16,31
19,Isaiah Canaan\canaais01,27,7,1,95,11,29,.379,7,19,.368,4,10,.400,.500,4,4,1.000,0,5,5,19,2,1,4,4,33
20,James Nunnally\nunnaja01,28,13,0,64,9,21,.429,5,13,.385,4,8,.500,.548,4,4,1.000,0,4,4,5,1,0,1,4,27
21,Mitch Creek\creekmi01,26,1,0,12,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,1,1,2,1,1,0,1,0,6
,Team Totals,,82,,19830,3413,7483,.456,827,2357,.351,2586,5126,.504,.511,1570,1995,.787,923,2750,3673,2018,683,411,1074,1664,9223
