Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Knox\knoxke01,19,75,57,2158,338,914,.370,125,364,.343,213,550,.387,.438,162,226,.717,61,274,335,82,43,24,114,175,963
2,Damyean Dotson\dotsoda01,24,73,40,2004,290,698,.415,126,342,.368,164,356,.461,.506,73,98,.745,34,228,262,135,58,10,71,135,779
3,Noah Vonleh\vonleno01,23,68,57,1722,207,440,.470,46,137,.336,161,303,.531,.523,111,156,.712,113,415,528,129,46,51,88,174,571
4,Emmanuel Mudiay\mudiaem01,22,59,42,1607,330,740,.446,69,210,.329,261,530,.492,.493,144,186,.774,33,163,196,228,43,19,140,103,873
5,Tim Hardaway\hardati02,26,46,46,1499,282,726,.388,117,337,.347,165,389,.424,.469,199,233,.854,26,135,161,122,42,6,81,106,880
6,Allonzo Trier\trieral01,23,64,3,1459,232,518,.448,52,132,.394,180,386,.466,.498,179,223,.803,31,166,197,119,28,14,116,117,695
7,Mitchell Robinson\robinmi01,20,66,19,1360,202,291,.694,0,0,,202,291,.694,.694,81,135,.600,177,246,423,37,52,161,35,217,485
8,Mario Hezonja\hezonma01,23,58,24,1206,191,464,.412,42,152,.276,149,312,.478,.457,87,114,.763,28,211,239,88,57,8,88,110,511
9,Enes Kanter\kanteen01,26,44,23,1128,251,468,.536,7,22,.318,244,446,.547,.544,105,129,.814,171,290,461,84,18,17,79,106,614
10,Frank Ntilikina\ntilila01,20,43,16,904,95,282,.337,33,115,.287,62,167,.371,.395,23,30,.767,12,75,87,121,30,14,56,104,246
11,Luke Kornet\kornelu01,23,46,18,784,107,283,.378,70,193,.363,37,90,.411,.502,38,46,.826,28,107,135,54,27,42,25,41,322
12,Lance Thomas\thomala01,30,46,17,783,78,197,.396,22,79,.278,56,118,.475,.452,27,36,.750,21,96,117,27,17,7,24,83,205
13,Trey Burke\burketr01,26,33,7,689,148,358,.413,30,86,.349,118,272,.434,.455,62,75,.827,15,47,62,94,21,5,29,33,388
14,Dennis Smith\smithde03,21,21,18,600,121,293,.413,24,83,.289,97,210,.462,.454,42,74,.568,14,44,58,114,27,9,54,47,308
15,DeAndre Jordan\jordade01,30,19,19,493,78,123,.634,0,0,,78,123,.634,.634,51,66,.773,64,152,216,57,9,20,42,42,207
16,Kadeem Allen\allenka01,26,19,1,416,65,141,.461,17,36,.472,48,105,.457,.521,42,54,.778,8,43,51,76,16,4,26,46,189
17,John Jenkins\jenkijo01,27,22,0,319,40,103,.388,20,56,.357,20,47,.426,.485,15,18,.833,6,30,36,21,0,2,9,10,115
18,Henry Ellenson\ellenhe01,22,17,0,234,35,85,.412,15,34,.441,20,51,.392,.500,17,23,.739,5,52,57,15,7,2,9,25,102
19,Courtney Lee\leeco01,33,12,2,160,21,47,.447,5,16,.313,16,31,.516,.500,9,14,.643,6,21,27,16,8,2,5,13,56
20,Ron Baker\bakerro01,25,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14
21,Billy Garrett\garrebi01,24,4,0,63,11,27,.407,0,8,.000,11,19,.579,.407,4,4,1.000,0,3,3,7,1,1,2,3,26
22,Wesley Matthews\matthwe02,32,2,1,54,4,19,.211,2,10,.200,2,9,.222,.263,4,5,.800,1,2,3,5,1,1,2,2,14
23,Isaiah Hicks\hicksis01,24,3,0,32,4,8,.500,0,0,,4,8,.500,.500,4,5,.800,2,5,7,2,1,3,1,5,12
,Team Totals,,82,,19780,3134,7241,.433,823,2421,.340,2311,4820,.479,.490,1484,1956,.759,857,2811,3668,1646,557,422,1151,1713,8575
