Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul George\georgpa01,28,77,77,2841,707,1614,.438,292,757,.386,415,857,.484,.529,453,540,.839,105,523,628,318,170,34,205,214,2159
2,Steven Adams\adamsst01,25,80,80,2669,481,809,.595,0,2,.000,481,807,.596,.595,146,292,.500,391,369,760,124,117,76,135,204,1108
3,Russell Westbrook\westbru01,30,73,73,2630,630,1473,.428,119,411,.290,511,1062,.481,.468,296,451,.656,109,698,807,784,142,33,325,245,1675
4,Jerami Grant\grantje01,24,80,77,2612,409,823,.497,115,293,.392,294,530,.555,.567,157,221,.710,96,321,417,79,61,100,67,214,1090
5,Dennis Schröder\schrode01,25,79,14,2314,457,1104,.414,124,364,.341,333,740,.450,.470,186,227,.819,38,246,284,323,65,12,172,189,1224
6,Terrance Ferguson\fergute01,20,74,74,1931,185,431,.429,106,290,.366,79,141,.560,.552,37,51,.725,33,108,141,72,40,16,47,231,513
7,Nerlens Noel\noelne01,24,77,2,1055,162,276,.587,0,0,,162,276,.587,.587,54,79,.684,127,198,325,45,66,96,48,166,378
8,Patrick Patterson\pattepa01,29,63,5,861,82,219,.374,46,137,.336,36,82,.439,.479,19,30,.633,42,105,147,31,16,13,22,46,229
9,Abdel Nader\naderab01,25,61,1,694,91,215,.423,32,100,.320,59,115,.513,.498,27,36,.750,14,102,116,20,20,12,26,68,241
10,Álex Abrines\abrinal01,25,31,2,588,56,157,.357,41,127,.323,15,30,.500,.487,12,13,.923,5,43,48,20,17,6,14,53,165
11,Hamidou Diallo\diallha01,20,51,3,526,75,165,.455,4,24,.167,71,141,.504,.467,36,59,.610,38,59,97,17,21,10,23,77,190
12,Markieff Morris\morrima02,29,24,1,387,61,156,.391,20,59,.339,41,97,.423,.455,14,19,.737,20,71,91,19,11,2,7,58,156
13,Raymond Felton\feltora01,34,33,0,379,55,135,.407,20,61,.328,35,74,.473,.481,12,13,.923,4,30,34,52,10,6,14,29,142
14,Deonte Burton\burtode02,25,32,0,240,33,82,.402,8,27,.296,25,55,.455,.451,8,12,.667,4,24,28,9,6,8,9,31,82
15,Timothé Luwawu-Cabarrot\luwawti01,23,21,1,123,13,43,.302,5,22,.227,8,21,.381,.360,4,6,.667,4,14,18,4,4,1,5,14,35
16,Donte Grantham\grantdo01,23,3,0,2,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
17,Tyler Davis\davisty01,21,1,0,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0
18,Jawun Evans\evansja01,22,1,0,1,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19855,3497,7706,.454,932,2677,.348,2565,5029,.510,.514,1461,2049,.713,1031,2911,3942,1917,766,425,1145,1839,9387
