No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
14,D.J. Augustin\augusdj01,PG,5-11,183,November 10 1987,us,10,Texas
5,Mohamed Bamba\bambamo01,C,7-0,241,May 12 1998,us,R,Texas
24,Khem Birch\birchkh01,C,6-9,233,September 28 1992,ca,1,Pitt UNLV
13,Isaiah Briscoe\briscis01,PG,6-3,215,April 13 1996,us,R,Kentucky
7,Michael Carter-Williams\cartemi01,PG,6-5,190,October 10 1991,us,5,Syracuse
3,Troy Caupain\caupatr01,PG,6-4,210,November 29 1995,us,R,Cincinnati
10,Evan Fournier\fournev01,SG,6-7,205,October 29 1992,fr,6,
35,Melvin Frazier\frazime01,SG,6-5,200,August 30 1996,us,R,Tulane
00,Aaron Gordon\gordoaa01,PF,6-8,220,September 16 1995,us,4,Arizona
22,Jerian Grant\grantje02,PG,6-4,205,October 9 1992,us,3,Notre Dame
1,Jonathan Isaac\isaacjo01,PF,6-11,210,October 3 1997,us,1,Florida State
25,Wesley Iwundu\iwundwe01,SF,6-6,195,December 20 1994,us,1,Kansas State
11,Amile Jefferson\jeffeam01,PF,6-9,222,May 7 1993,us,R,Duke
2,Jarell Martin\martija01,PF,6-10,239,May 24 1994,us,3,LSU
31,Terrence Ross\rosste01,SG,6-6,206,February 5 1991,us,6,Washington
17,Jonathon Simmons\simmojo02,SG,6-6,195,September 14 1989,us,3,Houston
9,Nikola Vučević\vucevni01,C,6-11,260,October 24 1990,ch,7,USC
