No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
43,Jonah Bolden\boldejo01,PF,6-8,220,January 2 1996,au,R,UCLA
00,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,11,Florida
23,Jimmy Butler\butleji01,SF,6-7,230,September 14 1989,us,7,Marquette
22,Wilson Chandler\chandwi01,PF,6-8,235,May 10 1987,us,10,DePaul
33,Robert Covington\covinro01,SF,6-7,211,December 14 1990,us,5,Tennessee State
21,Joel Embiid\embiijo01,C,7-0,250,March 16 1994,cm,2,Kansas
11,James Ennis\ennisja01,SF,6-6,210,July 1 1990,us,4,Cal State Long Beach
20,Markelle Fultz\fultzma01,SG,6-3,200,May 29 1998,us,1,Washington
33,Tobias Harris\harrito02,PF,6-8,235,July 15 1992,us,7,Tennessee
7,Haywood Highsmith\highsha01,SF,6-7,220,December 9 1996,us,R,Wheeling Jesuit
11,Demetrius Jackson\jacksde01,PG,6-1,201,September 7 1994,us,2,Notre Dame
5,Amir Johnson\johnsam01,C,6-9,240,May 1 1987,us,13,
30,Furkan Korkmaz\korkmfu01,SG,6-7,190,July 24 1997,tr,1,
51,Boban Marjanović\marjabo01,C,7-4,290,August 15 1988,rs,3,
12,T.J. McConnell\mccontj01,PG,6-1,190,March 25 1992,us,3,Duquesne Arizona
18,Shake Milton\miltosh01,SG,6-5,207,September 26 1996,us,R,SMU
55,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,8,Georgetown
31,Mike Muscala\muscami01,PF,6-10,240,July 1 1991,us,5,Bucknell
0,Justin Patton\pattoju01,C,6-11,241,June 14 1997,us,1,Creighton
17,J.J. Redick\redicjj01,SG,6-3,200,June 24 1984,us,12,Duke
9,Dario Šarić\saricda01,PF,6-10,225,April 8 1994,hr,2,
1,Mike Scott\scottmi01,PF,6-7,237,July 16 1988,us,6,Virginia
1-23,Landry Shamet\shamela01,SG,6-4,188,March 13 1997,us,R,Wichita State
25,Ben Simmons\simmobe01,PG,6-10,230,July 20 1996,au,1,LSU
14,Jonathon Simmons\simmojo02,SF,6-6,195,September 14 1989,us,3,Houston
8,Zhaire Smith\smithzh01,SG,6-3,199,June 4 1999,us,R,Texas Tech
