Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ben Simmons\simmobe01,22,79,79,2700,540,960,.563,0,6,.000,540,954,.566,.563,257,428,.600,172,525,697,610,112,61,274,209,1337
2,J.J. Redick\redicjj01,34,76,63,2379,452,1027,.440,240,605,.397,212,422,.502,.557,228,255,.894,20,166,186,206,32,17,101,129,1372
3,Joel Embiid\embiijo01,24,64,64,2154,580,1199,.484,79,263,.300,501,936,.535,.517,522,649,.804,160,711,871,234,46,122,226,211,1761
4,Jimmy Butler\butleji01,29,55,55,1824,344,747,.461,50,148,.338,294,599,.491,.494,264,304,.868,105,185,290,220,99,29,81,93,1002
5,T.J. McConnell\mccontj01,26,76,3,1470,220,419,.525,14,42,.333,206,377,.546,.542,29,37,.784,28,146,174,258,79,17,91,105,483
6,Landry Shamet\shamela01,21,54,4,1108,153,347,.441,99,245,.404,54,102,.529,.584,44,54,.815,14,64,78,59,24,8,26,106,449
7,Mike Muscala\muscami01,27,47,6,1041,109,278,.392,68,199,.342,41,79,.519,.514,63,77,.818,51,149,200,62,18,27,43,112,349
8,Wilson Chandler\chandwi01,31,36,32,951,91,207,.440,46,118,.390,45,89,.506,.551,13,18,.722,44,124,168,72,22,18,39,94,241
9,Tobias Harris\harrito02,26,27,27,944,187,399,.469,44,135,.326,143,264,.542,.524,74,88,.841,32,181,213,79,11,13,42,61,492
10,Furkan Korkmaz\korkmfu01,21,48,7,679,98,245,.400,47,144,.326,51,101,.505,.496,36,44,.818,16,91,107,52,29,2,25,62,279
11,Mike Scott\scottmi01,30,27,3,647,76,190,.400,49,119,.412,27,71,.380,.529,10,15,.667,19,83,102,22,9,5,17,68,211
12,Jonah Bolden\boldejo01,23,44,10,639,80,162,.494,34,96,.354,46,66,.697,.599,13,27,.481,47,118,165,40,17,39,36,99,207
13,Amir Johnson\johnsam01,31,51,6,529,79,157,.503,12,40,.300,67,117,.573,.541,31,41,.756,47,100,147,60,16,13,45,99,201
14,Robert Covington\covinro01,28,13,13,440,50,117,.427,30,77,.390,20,40,.500,.556,17,23,.739,7,60,67,14,24,23,22,45,147
15,Markelle Fultz\fultzma01,20,19,15,427,65,155,.419,4,14,.286,61,141,.433,.432,21,37,.568,26,44,70,59,17,5,25,52,155
16,Dario Šarić\saricda01,24,13,13,396,48,132,.364,21,70,.300,27,62,.435,.443,27,30,.900,21,65,86,26,4,3,25,39,144
17,Boban Marjanović\marjabo01,30,22,3,305,75,120,.625,4,8,.500,71,112,.634,.642,26,36,.722,32,81,113,32,5,10,22,33,180
18,James Ennis\ennisja01,28,18,2,281,34,83,.410,11,36,.306,23,47,.489,.476,16,23,.696,23,42,65,14,3,7,11,39,95
19,Shake Milton\miltosh01,22,20,0,268,34,87,.391,14,44,.318,20,43,.465,.471,5,7,.714,9,26,35,18,8,8,6,29,87
20,Jonathon Simmons\simmojo02,29,15,0,219,29,64,.453,9,21,.429,20,43,.465,.523,16,25,.640,4,22,26,33,11,1,12,21,83
21,Corey Brewer\breweco01,32,7,3,140,20,49,.408,4,14,.286,16,35,.457,.449,9,13,.692,4,13,17,10,12,2,8,16,53
22,Zhaire Smith\smithzh01,19,6,2,111,14,34,.412,6,16,.375,8,18,.444,.500,6,8,.750,3,10,13,10,2,2,6,8,40
23,Greg Monroe\monrogr01,28,3,0,52,15,23,.652,1,1,1.000,14,22,.636,.674,10,11,.909,4,9,13,7,1,0,1,5,41
24,Haywood Highsmith\highsha01,22,5,0,40,4,10,.400,1,5,.200,3,5,.600,.450,0,2,.000,0,5,5,2,1,0,1,1,9
25,Demetrius Jackson\jacksde01,24,6,0,39,8,15,.533,2,6,.333,6,9,.667,.600,4,4,1.000,2,1,3,5,2,0,1,4,22
26,Justin Patton\pattoju01,21,3,0,21,2,7,.286,0,2,.000,2,5,.400,.286,1,2,.500,2,4,6,3,2,0,0,5,5
,Team Totals,,82,,19805,3407,7233,.471,889,2474,.359,2518,4759,.529,.532,1742,2258,.771,892,3025,3917,2207,606,432,1223,1745,9445
