No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
35,Marvin Bagley\baglema01,PF,6-11,240,March 14 1999,us,R,Duke
40,Harrison Barnes\barneha02,SF,6-8,225,May 30 1992,us,6,UNC
88,Nemanja Bjelica\bjeline01,PF,6-10,235,May 9 1988,rs,3,
8,Bogdan Bogdanović\bogdabo01,SG,6-6,220,August 18 1992,rs,1,
33,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,11,Florida
13,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,7,Colorado
00,Willie Cauley-Stein\caulewi01,C,7-0,240,August 18 1993,us,3,Kentucky
3,Yogi Ferrell\ferreyo01,PG,6-0,180,May 9 1993,us,2,Indiana
5,De'Aaron Fox\foxde01,PG,6-3,185,December 20 1997,us,1,Kentucky
20,Harry Giles\gilesha01,PF,6-11,240,April 22 1998,us,R,Duke
24,Buddy Hield\hieldbu01,SG,6-4,220,December 17 1992,bs,2,Oklahoma
25,Justin Jackson\jacksju01,SF,6-7,210,March 28 1995,us,1,UNC
9,B.J. Johnson\johnsbj01,SF,6-7,200,December 21 1995,us,R,Syracuse La Salle
41,Kosta Koufos\koufoko01,C,7-0,245,February 24 1989,us,10,Ohio State
7,Skal Labissière\labissk01,PF,6-10,216,March 18 1996,ht,2,Kentucky
10,Frank Mason\masonfr01,PG,5-11,190,April 3 1994,us,1,Kansas
23,Ben McLemore\mclembe01,SG,6-3,195,February 11 1993,us,5,Kansas
9,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,7,Georgia Tech
50,Caleb Swanigan\swanica01,PF,6-9,260,April 18 1997,us,1,Purdue
19,Troy Williams\willitr02,SF,6-7,218,December 30 1994,us,2,Indiana
