Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,DeMar DeRozan\derozde01,29,77,77,2688,631,1313,.481,7,45,.156,624,1268,.492,.483,366,441,.830,54,408,462,475,86,36,199,177,1635
2,LaMarcus Aldridge\aldrila01,33,81,81,2687,684,1319,.519,10,42,.238,674,1277,.528,.522,349,412,.847,251,493,744,194,43,107,144,179,1727
3,Bryn Forbes\forbebr01,25,82,81,2293,361,791,.456,176,413,.426,185,378,.489,.568,69,78,.885,18,221,239,175,45,4,80,159,967
4,Patty Mills\millspa02,30,82,1,1908,282,663,.425,159,404,.394,123,259,.475,.545,88,103,.854,24,158,182,245,49,10,93,129,811
5,Rudy Gay\gayru01,32,69,51,1842,376,746,.504,74,184,.402,302,562,.537,.554,120,147,.816,63,407,470,182,54,34,114,159,946
6,Marco Belinelli\belinma01,32,79,1,1815,285,690,.413,147,395,.372,138,295,.468,.520,112,124,.903,16,182,198,132,35,8,72,121,829
7,Derrick White\whitede01,24,67,55,1728,260,543,.479,48,142,.338,212,401,.529,.523,95,123,.772,35,212,247,263,67,47,97,145,663
8,Dāvis Bertāns\bertada01,26,76,12,1632,204,453,.450,145,338,.429,59,115,.513,.610,53,60,.883,23,241,264,100,35,33,43,133,606
9,Jakob Pöltl\poeltja01,23,77,24,1273,187,290,.645,0,0,,187,290,.645,.645,49,92,.533,178,232,410,93,29,68,48,124,423
10,Dante Cunningham\cunnida01,31,64,21,928,75,158,.475,30,65,.462,45,93,.484,.570,14,18,.778,48,140,188,50,27,13,22,71,194
11,Pau Gasol\gasolpa01,38,27,6,330,41,88,.466,5,10,.500,36,78,.462,.494,27,38,.711,22,105,127,50,5,14,14,28,114
12,Quincy Pondexter\pondequ01,30,53,0,292,29,58,.500,6,18,.333,23,40,.575,.552,34,42,.810,8,38,46,24,11,1,13,24,98
13,Chimezie Metu\metuch01,21,29,0,145,19,58,.328,0,2,.000,19,56,.339,.328,13,17,.765,9,27,36,13,6,2,15,14,51
14,Lonnie Walker\walkelo01,20,17,0,118,16,46,.348,5,13,.385,11,33,.333,.402,8,10,.800,0,17,17,9,7,3,4,7,45
15,Drew Eubanks\eubandr01,21,23,0,113,15,26,.577,0,0,,15,26,.577,.577,11,13,.846,6,28,34,7,2,5,8,11,41
16,Donatas Motiejūnas\motiedo01,28,3,0,13,3,6,.500,0,0,,3,6,.500,.500,0,2,.000,2,1,3,1,0,1,3,6,6
,Team Totals,,82,,19805,3468,7248,.478,812,2071,.392,2656,5177,.513,.534,1408,1720,.819,757,2910,3667,2013,501,386,992,1487,9156
