Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Donovan Mitchell\mitchdo01,22,77,77,2598,661,1530,.432,188,519,.362,473,1011,.468,.493,319,396,.806,59,257,316,322,106,31,218,208,1829
2,Rudy Gobert\goberru01,26,81,80,2577,476,712,.669,0,0,,476,712,.669,.669,332,522,.636,309,732,1041,161,66,187,130,231,1284
3,Joe Ingles\inglejo01,31,82,82,2568,359,802,.448,189,483,.391,170,319,.533,.565,87,123,.707,35,295,330,469,98,20,193,180,994
4,Jae Crowder\crowdja01,28,80,11,2166,318,797,.399,173,522,.331,145,275,.527,.508,142,197,.721,60,324,384,133,64,31,85,170,951
5,Ricky Rubio\rubiori01,28,68,67,1899,295,730,.404,79,254,.311,216,476,.454,.458,195,228,.855,33,210,243,416,91,10,180,180,864
6,Derrick Favors\favorde01,27,76,70,1766,363,619,.586,17,78,.218,346,541,.640,.600,154,228,.675,207,353,560,89,56,106,84,163,897
7,Royce O'Neale\onealro01,25,82,16,1671,163,343,.475,68,176,.386,95,167,.569,.574,32,42,.762,22,263,285,124,54,24,70,172,426
8,Kyle Korver\korveky01,37,54,0,1083,166,407,.408,113,294,.384,53,113,.469,.547,47,57,.825,9,124,133,64,22,10,42,84,492
9,Dante Exum\exumda01,23,42,1,664,101,241,.419,18,62,.290,83,179,.464,.456,68,86,.791,16,52,68,110,14,5,52,69,288
10,Thabo Sefolosha\sefolth01,34,50,2,609,71,149,.477,34,78,.436,37,71,.521,.591,14,22,.636,8,115,123,27,43,5,25,41,190
11,Georges Niang\niangge01,25,59,0,516,86,181,.475,43,105,.410,43,76,.566,.594,20,24,.833,11,76,87,35,10,6,23,57,235
12,Raul Neto\netora01,26,37,1,474,74,161,.460,20,60,.333,54,101,.535,.522,28,33,.848,6,56,62,93,14,4,35,49,196
13,Grayson Allen\allengr01,23,38,2,416,67,178,.376,32,99,.323,35,79,.443,.466,45,60,.750,3,20,23,25,6,6,33,47,211
14,Ekpe Udoh\udohek01,31,51,1,320,50,72,.694,0,0,,50,72,.694,.694,19,30,.633,27,63,90,28,10,31,13,36,119
15,Alec Burks\burksal01,27,17,0,269,47,114,.412,16,43,.372,31,71,.437,.482,33,38,.868,2,25,27,20,6,4,15,22,143
16,Naz Mitrou-Long\mitrona01,25,14,0,84,6,20,.300,2,11,.182,4,9,.444,.350,2,2,1.000,1,5,6,15,1,1,8,10,16
17,Tyler Cavanaugh\cavanty01,24,11,0,39,3,10,.300,1,5,.200,2,5,.400,.350,2,2,1.000,3,5,8,1,0,0,1,3,9
18,Tony Bradley\bradlto01,21,3,0,36,8,16,.500,0,0,,8,16,.500,.500,1,2,.500,9,6,15,1,2,2,3,6,17
,Team Totals,,82,,19755,3314,7082,.468,993,2789,.356,2321,4293,.541,.538,1540,2092,.736,820,2981,3801,2133,663,483,1240,1728,9161
