No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Trevor Ariza\arizatr01,SF,6-8,215,June 30 1985,us,14,UCLA
84,Ron Baker\bakerro01,SG,6-4,220,March 30 1993,us,2,Wichita State
3,Bradley Beal\bealbr01,SG,6-3,207,June 28 1993,us,6,Florida
6,Troy Brown\browntr01,SF,6-6,215,July 28 1999,us,R,Oregon
13,Thomas Bryant\bryanth01,C,6-10,248,July 31 1997,us,1,Indiana
8,Sam Dekker\dekkesa01,PF,6-9,230,May 6 1994,us,3,Wisconsin
32,Jeff Green\greenje02,PF,6-8,235,August 28 1986,us,10,Georgetown
21,Dwight Howard\howardw01,C,6-10,265,December 8 1985,us,14,
20,John Jenkins\jenkijo01,SG,6-4,215,March 6 1991,us,5,Vanderbilt
4,Wesley Johnson\johnswe01,SF,6-7,215,July 11 1987,us,8,Iowa State Syracuse
28,Ian Mahinmi\mahinia01,C,6-11,262,November 5 1986,fr,10,
52,Jordan McRae\mcraejo01,SG,6-5,179,March 28 1991,us,2,Tennessee
5,Markieff Morris\morrima02,PF,6-8,245,September 2 1989,us,7,Kansas
12,Kelly Oubre\oubreke01,SF,6-7,205,December 9 1995,us,3,Kansas
12,Jabari Parker\parkeja01,PF,6-8,245,March 15 1995,us,4,Duke
4,Gary Payton\paytoga02,PG,6-3,190,December 1 1992,us,2,Oregon State
22,Otto Porter\porteot01,SF,6-8,198,June 3 1993,us,5,Georgetown
5,Bobby Portis\portibo01,PF,6-10,246,February 10 1995,us,3,Arkansas
9,Chasson Randle\randlch01,PG,6-2,185,February 5 1993,us,1,Stanford
1,Austin Rivers\riverau01,SG,6-3,200,August 1 1992,us,6,Duke
7,Devin Robinson\robinde01,SF,6-8,200,March 7 1995,us,1,Florida
31,Tomáš Satoranský\satorto01,PG,6-7,198,October 30 1991,cz,2,
14,Jason Smith\smithja02,C,7-0,240,March 2 1986,us,10,Colorado State
2,John Wall\walljo01,PG,6-4,210,September 6 1990,us,8,Kentucky
15,Okaro White\whiteok01,PF,6-8,205,August 13 1992,us,2,Florida State
