No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Carmelo Anthony\anthoca01,PF,6-8,240,May 29 1984,us,15,Syracuse
15,Clint Capela\capelca01,C,6-10,240,May 18 1994,ch,4,
1,Michael Carter-Williams\cartemi01,PG,6-5,190,October 10 1991,us,5,Syracuse
2,Chris Chiozza\chiozch01,PG,5-11,175,November 21 1995,us,R,Florida
0,Marquese Chriss\chrisma01,PF,6-9,240,July 2 1997,us,2,Washington
6,Gary Clark\clarkga01,PF,6-6,225,November 16 1994,us,R,Cincinnati
12,Vince Edwards\edwarvi01,SF,6-8,225,April 5 1996,us,R,Purdue
8,James Ennis\ennisja01,SF,6-6,210,July 1 1990,us,4,Cal State Long Beach
35,Kenneth Faried\farieke01,C,6-8,220,November 19 1989,us,7,Morehead State University
10,Eric Gordon\gordoer01,SG,6-3,215,December 25 1988,us,10,Indiana
14,Gerald Green\greenge01,SG,6-6,205,January 26 1986,us,11,
13,James Harden\hardeja01,PG,6-5,220,August 26 1989,us,9,Arizona State
55,Isaiah Hartenstein\harteis01,PF,7-0,249,May 5 1998,us,R,
42,Nenê Hilário\hilarne01,C,6-11,250,September 13 1982,br,16,
4,Danuel House\houseda01,SF,6-6,215,June 7 1993,us,2,Texas A&M
9,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,5,Kentucky
2,Brandon Knight\knighbr03,PG,6-2,195,December 2 1991,us,6,Kentucky
21,James Nunnally\nunnaja01,SF,6-7,208,July 14 1990,us,1,UC Santa Barbara
3,Chris Paul\paulch01,PG,6-1,175,May 6 1985,us,13,Wake Forest
9,Zhou Qi\qizh01,PF,7-1,210,January 16 1996,cn,1,
25,Austin Rivers\riverau01,SG,6-3,200,August 1 1992,us,6,Duke
1,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,7,Georgia Tech
17,P.J. Tucker\tuckepj01,PF,6-5,245,May 5 1985,us,7,Texas
