No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Lonzo Ball\balllo01,PG,6-6,190,October 27 1997,us,1,UCLA
11,Michael Beasley\beaslmi01,PF,6-9,235,January 9 1989,us,10,Kansas State
17,Isaac Bonga\bongais01,PG,6-8,180,November 8 1999,de,R,
35,Reggie Bullock\bullore01,SG,6-6,200,March 16 1991,us,5,UNC
1,Kentavious Caldwell-Pope\caldwke01,SG,6-5,205,February 18 1993,us,5,Georgia
4,Alex Caruso\carusal01,PG,6-5,186,February 28 1994,us,1,Texas A&M
5,Tyson Chandler\chandty01,C,7-0,240,October 2 1982,us,17,
3,Josh Hart\hartjo01,SG,6-5,215,March 6 1995,us,1,Villanova
20,Andre Ingram\ingraan01,SG,6-3,190,November 19 1985,us,1,American University
14,Brandon Ingram\ingrabr01,SF,6-7,190,September 2 1997,us,2,Duke
23,LeBron James\jamesle01,SF,6-9,250,December 30 1984,us,15,
10,Jemerrio Jones\jonesje01,SF,6-5,174,April 9 1995,us,R,Hill College New Mexico State
0,Kyle Kuzma\kuzmaky01,PF,6-8,220,July 24 1995,us,1,Utah
10,Scott Machado\machasc01,PG,6-1,205,June 8 1990,us,1,Iona College
7,JaVale McGee\mcgeeja01,C,7-0,270,January 19 1988,us,10,Nevada
31,Mike Muscala\muscami01,PF,6-10,240,July 1 1991,us,5,Bucknell
10,Sviatoslav Mykhailiuk\mykhasv01,SF,6-7,205,June 10 1997,ua,R,Kansas
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,12,Kentucky
6,Lance Stephenson\stephla01,SG,6-6,230,September 5 1990,us,8,Cincinnati
15,Moritz Wagner\wagnemo01,C,6-11,245,April 26 1997,de,R,Michigan
19,Johnathan Williams\willijo04,C,6-9,228,May 22 1995,us,R,Missouri Gonzaga
40,Ivica Zubac\zubaciv01,C,7-0,240,March 18 1997,ba,2,
