No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Bam Adebayo\adebaba01,C,6-9,255,July 18 1997,us,1,Kentucky
31,Ryan Anderson\anderry01,PF,6-9,240,May 6 1988,us,10,California
7,Goran Dragić\dragigo01,PG,6-3,190,May 6 1986,si,10,
2,Wayne Ellington\ellinwa01,SG,6-4,200,November 29 1987,us,9,UNC
40,Udonis Haslem\hasleud01,C,6-8,235,June 9 1980,us,15,Florida
16,James Johnson\johnsja01,PF,6-7,240,February 20 1987,us,9,Wake Forest
8,Tyler Johnson\johnsty01,PG,6-3,190,May 7 1992,us,4,Fresno State
5,Derrick Jones\jonesde02,SF,6-6,210,February 15 1997,us,2,UNLV
00,Yante Maten\matenya01,PF,6-8,240,August 14 1996,us,R,Georgia
17,Rodney McGruder\mcgruro01,SG,6-4,200,July 29 1991,us,2,Kansas State
9,Kelly Olynyk\olynyke01,PF,6-11,240,April 19 1991,ca,5,Gonzaga
0,Josh Richardson\richajo01,SG,6-5,200,September 15 1993,us,3,Tennessee
55,Duncan Robinson\robindu01,PF,6-7,215,April 22 1994,us,R,Williams Michigan
12,Emanuel Terry\terryem01,PF,6-9,220,August 21 1996,us,R,Lincoln Memorial University
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,15,Marquette
11,Dion Waiters\waitedi01,SG,6-3,215,December 10 1991,us,6,Syracuse
21,Hassan Whiteside\whiteha01,C,7-0,235,June 13 1989,us,6,Marshall
20,Justise Winslow\winslju01,SF,6-6,225,March 26 1996,us,3,Duke
