Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Josh Richardson\richajo01,25,73,73,2539,423,1026,.412,164,460,.357,259,566,.458,.492,199,231,.861,54,209,263,298,79,34,113,200,1209
2,Justise Winslow\winslju01,22,66,52,1959,324,749,.433,96,256,.375,228,493,.462,.497,86,137,.628,63,292,355,282,72,19,142,177,830
3,Bam Adebayo\adebaba01,21,82,28,1913,280,486,.576,3,15,.200,277,471,.588,.579,166,226,.735,165,432,597,184,71,65,121,203,729
4,Dwyane Wade\wadedw01,37,72,2,1885,416,960,.433,86,261,.330,330,699,.472,.478,165,233,.708,69,216,285,301,59,38,166,118,1083
5,Kelly Olynyk\olynyke01,27,79,36,1812,261,564,.463,113,319,.354,148,245,.604,.563,152,185,.822,72,303,375,140,53,37,114,183,787
6,Hassan Whiteside\whiteha01,29,72,53,1674,388,680,.571,2,16,.125,386,664,.581,.572,109,243,.449,257,560,817,56,46,136,97,192,887
7,Rodney McGruder\mcgruro01,27,66,45,1550,186,461,.403,79,225,.351,107,236,.453,.489,52,72,.722,60,178,238,112,36,12,64,115,503
8,James Johnson\johnsja01,31,55,33,1164,164,379,.433,50,149,.336,114,230,.496,.499,50,70,.714,22,154,176,135,35,27,74,114,428
9,Derrick Jones\jonesde02,21,60,14,1153,160,324,.494,28,91,.308,132,233,.567,.537,74,122,.607,96,144,240,37,46,42,43,123,422
10,Dion Waiters\waitedi01,27,44,28,1138,198,478,.414,109,289,.377,89,189,.471,.528,22,44,.500,7,109,116,121,29,9,64,72,527
11,Tyler Johnson\johnsty01,26,44,10,1123,171,401,.426,72,204,.353,99,197,.503,.516,61,88,.693,19,102,121,112,40,21,63,72,475
12,Goran Dragić\dragigo01,32,36,22,991,179,433,.413,57,164,.348,122,269,.454,.479,79,101,.782,20,91,111,174,30,5,71,81,494
13,Wayne Ellington\ellinwa01,31,25,12,533,69,184,.375,57,155,.368,12,29,.414,.530,14,16,.875,6,41,47,29,24,3,14,40,209
14,Duncan Robinson\robindu01,24,15,1,161,18,46,.391,10,35,.286,8,11,.727,.500,4,6,.667,2,17,19,5,5,0,4,11,50
15,Udonis Haslem\hasleud01,38,10,1,74,11,33,.333,0,12,.000,11,21,.524,.333,3,4,.750,3,24,27,2,0,0,3,9,25
16,Ryan Anderson\anderry01,30,10,0,44,2,9,.222,2,6,.333,0,3,.000,.333,1,2,.500,4,5,9,2,1,0,2,2,7
17,Yante Maten\matenya01,22,2,0,13,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,2,3,0,1,0,0,0,2
18,Emanuel Terry\terryem01,22,1,0,3,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,0,1,1,0,0,0,0,1
,Team Totals,,82,,19730,3251,7218,.450,928,2658,.349,2323,4560,.509,.515,1238,1782,.695,921,2879,3800,1991,627,448,1208,1712,8668
