No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Álex Abrines\abrinal01,SG,6-6,200,August 1 1993,es,2,
12,Steven Adams\adamsst01,C,6-11,265,July 20 1993,nz,5,Pitt
30,Deonte Burton\burtode02,SG,6-4,240,January 31 1994,us,R,Marquette Iowa State
34,Tyler Davis\davisty01,C,6-10,266,May 22 1997,us,R,Texas A&M
6,Hamidou Diallo\diallha01,SG,6-5,202,July 31 1998,us,R,Kentucky
8,Jawun Evans\evansja01,PG,6-0,185,July 26 1996,us,1,Oklahoma State
2,Raymond Felton\feltora01,PG,6-1,205,June 26 1984,us,13,UNC
23,Terrance Ferguson\fergute01,SG,6-6,190,May 17 1998,us,1,
13,Paul George\georgpa01,SF,6-8,220,May 2 1990,us,8,Fresno State
9,Jerami Grant\grantje01,PF,6-8,214,March 12 1994,us,4,Syracuse
15,Donte Grantham\grantdo01,SF,6-8,215,March 19 1995,us,R,Clemson
7,Timothé Luwawu-Cabarrot\luwawti01,SF,6-7,210,May 9 1995,fr,2,
5,Markieff Morris\morrima02,PF,6-8,245,September 2 1989,us,7,Kansas
11,Abdel Nader\naderab01,SF,6-5,225,September 25 1993,eg,1,Northern Illinois Iowa State
3,Nerlens Noel\noelne01,C,6-10,220,April 10 1994,us,4,Kentucky
54,Patrick Patterson\pattepa01,PF,6-8,230,March 14 1989,us,8,Kentucky
17,Dennis Schröder\schrode01,PG,6-1,172,September 15 1993,de,5,
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,10,UCLA
