No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Quincy Acy\acyqu01,PF,6-7,240,October 6 1990,us,6,Baylor
15,Ryan Anderson\anderry01,PF,6-9,240,May 6 1988,us,10,California
3,Trevor Ariza\arizatr01,SF,6-8,215,June 30 1985,us,14,UCLA
22,Deandre Ayton\aytonde01,C,6-11,250,July 23 1998,bs,R,Arizona
35,Dragan Bender\bendedr01,PF,7-0,225,November 17 1997,ba,2,
1,Devin Booker\bookede01,SG,6-5,210,October 30 1996,us,3,Kentucky
25,Mikal Bridges\bridgmi01,SF,6-6,210,August 30 1996,us,R,Villanova
0,Isaiah Canaan\canaais01,PG,6-0,201,May 21 1991,us,5,Murray State
4,Tyson Chandler\chandty01,C,7-0,240,October 2 1982,us,17,
11,Jamal Crawford\crawfja01,SG,6-5,185,March 20 1980,us,18,Michigan
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,5,Virginia Commonwealth
0,Jawun Evans\evansja01,PG,6-0,185,July 26 1996,us,1,Oklahoma State
32,Jimmer Fredette\fredeji01,SG,6-2,195,February 25 1989,us,5,BYU
21,Richaun Holmes\holmeri01,C,6-10,240,October 15 1993,us,3,Bowling Green
20,Josh Jackson\jacksjo02,SG,6-8,207,February 10 1997,us,1,Kansas
16,Tyler Johnson\johnsty01,PG,6-3,190,May 7 1992,us,4,Fresno State
8,George King\kingge03,SF,6-6,225,January 15 1994,us,R,Colorado
14,De'Anthony Melton\meltode01,PG,6-2,200,May 28 1998,us,R,USC
23,Eric Moreland\moreler01,PF,6-10,238,December 24 1991,us,3,Oregon State
2,Elie Okobo\okoboel01,PG,6-3,190,October 23 1997,fr,R,
3,Kelly Oubre\oubreke01,SF,6-7,205,December 9 1995,us,3,Kansas
26,Ray Spalding\spaldra01,PF,6-10,215,March 11 1997,us,R,Louisville
10,Emanuel Terry\terryem01,PF,6-9,220,August 21 1996,us,R,Lincoln Memorial University
12,T.J. Warren\warretj01,SF,6-8,215,September 5 1993,us,4,NC State
