No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Al-Farouq Aminu\aminual01,PF,6-8,220,September 21 1990,us,8,Wake Forest
2,Wade Baldwin\baldwwa01,PG,6-4,200,March 29 1996,us,2,Vanderbilt
33,Zach Collins\colliza01,C,6-11,232,November 19 1997,us,1,Gonzaga
31,Seth Curry\curryse01,SG,6-2,185,August 23 1990,us,4,Liberty Duke
4,Maurice Harkless\harklma01,SF,6-7,220,May 11 1993,us,6,St. John's
5,Rodney Hood\hoodro01,SG,6-8,208,October 20 1992,us,4,Mississippi State Duke
00,Enes Kanter\kanteen01,C,6-10,262,May 20 1992,ch,7,
17,Skal Labissière\labissk01,PF,6-10,216,March 18 1996,ht,2,Kentucky
10,Jake Layman\laymaja01,SF,6-8,209,March 7 1994,us,2,Maryland
11,Meyers Leonard\leoname01,C,7-0,260,February 27 1992,us,6,Illinois
0,Damian Lillard\lillada01,PG,6-2,195,July 15 1990,us,6,Weber State
3,CJ McCollum\mccolcj01,SG,6-3,197,September 19 1991,us,5,Lehigh
27,Jusuf Nurkić\nurkiju01,C,7-0,280,August 23 1994,ba,4,
24,Anfernee Simons\simonan01,SG,6-3,181,June 8 1999,us,R,
6,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,4,Michigan
50,Caleb Swanigan\swanica01,PF,6-9,260,April 18 1997,us,1,Purdue
9,Gary Trent\trentga02,SG,6-5,209,January 18 1999,us,R,Duke
1,Evan Turner\turneev01,PG,6-6,220,October 27 1988,us,8,Ohio State
