Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Damian Lillard\lillada01,28,80,80,2838,681,1533,.444,237,643,.369,444,890,.499,.522,468,513,.912,68,303,371,551,88,34,212,148,2067
2,CJ McCollum\mccolcj01,27,70,70,2375,571,1243,.459,167,445,.375,404,798,.506,.527,159,192,.828,62,220,282,207,55,28,106,172,1468
3,Al-Farouq Aminu\aminual01,28,81,81,2292,257,593,.433,96,280,.343,161,313,.514,.514,150,173,.867,112,498,610,104,68,33,72,143,760
4,Jusuf Nurkić\nurkiju01,24,72,72,1974,420,826,.508,3,29,.103,417,797,.523,.510,282,365,.773,243,505,748,233,71,103,168,250,1125
5,Evan Turner\turneev01,30,73,2,1605,204,443,.460,11,52,.212,193,391,.494,.473,75,106,.708,37,291,328,283,33,18,114,110,494
6,Maurice Harkless\harklma01,25,60,53,1415,189,388,.487,33,120,.275,156,268,.582,.530,49,73,.671,77,192,269,74,67,53,45,163,460
7,Seth Curry\curryse01,28,74,2,1399,212,465,.456,113,251,.450,99,214,.463,.577,44,52,.846,27,93,120,66,36,12,61,97,581
8,Zach Collins\colliza01,21,77,0,1356,189,400,.473,40,121,.331,149,279,.534,.523,94,126,.746,109,215,324,71,25,66,77,174,512
9,Jake Layman\laymaja01,24,71,33,1327,216,424,.509,59,181,.326,157,243,.646,.579,50,71,.704,56,161,217,53,31,30,46,116,541
10,Meyers Leonard\leoname01,26,61,2,878,132,242,.545,50,111,.450,82,131,.626,.649,43,51,.843,49,184,233,75,13,9,43,105,357
11,Nik Stauskas\stausni01,25,44,0,673,96,229,.419,43,125,.344,53,104,.510,.513,32,36,.889,10,70,80,62,14,4,40,31,267
12,Rodney Hood\hoodro01,26,27,4,659,98,217,.452,29,84,.345,69,133,.519,.518,33,41,.805,7,38,45,34,21,7,19,45,258
13,Enes Kanter\kanteen01,26,23,8,512,124,215,.577,3,12,.250,121,203,.596,.584,50,68,.735,86,112,198,32,14,9,39,61,301
14,Caleb Swanigan\swanica01,21,18,0,145,14,44,.318,1,5,.200,13,39,.333,.330,6,7,.857,13,39,52,7,4,0,16,22,35
15,Anfernee Simons\simonan01,19,20,1,141,28,63,.444,10,29,.345,18,34,.529,.524,9,16,.563,3,10,13,13,1,0,11,9,75
16,Gary Trent\trentga02,20,15,1,111,16,50,.320,5,21,.238,11,29,.379,.370,3,7,.429,1,10,11,5,1,2,4,4,40
17,Wade Baldwin\baldwwa01,22,16,0,94,10,33,.303,2,9,.222,8,24,.333,.333,8,11,.727,2,13,15,12,1,2,14,11,30
18,Skal Labissière\labissk01,22,9,1,63,13,19,.684,2,2,1.000,11,17,.647,.737,3,6,.500,5,14,19,5,3,3,4,8,31
,Team Totals,,82,,19855,3470,7427,.467,904,2520,.359,2566,4907,.523,.528,1558,1914,.814,967,2968,3935,1887,546,413,1135,1669,9402
