No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,OG Anunoby\anunoog01,SF,6-7,232,July 17 1997,gb,1,Indiana
25,Chris Boucher\bouchch01,PF,6-9,200,January 11 1993,lc,1,Oregon
4,Lorenzo Brown\brownlo01,PG,6-5,189,August 26 1990,us,4,NC State
33,Marc Gasol\gasolma01,C,6-11,255,January 29 1985,es,10,
14,Danny Green\greenda02,SG,6-6,215,June 22 1987,us,9,UNC
9,Serge Ibaka\ibakase01,C,7-0,235,September 18 1989,cg,9,
2,Kawhi Leonard\leonaka01,SF,6-7,230,June 29 1991,us,7,San Diego State
17,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,8,Harvard University
7,Kyle Lowry\lowryky01,PG,6-0,196,March 25 1986,us,12,Villanova
8,Jordan Loyd\loydjo01,PG,6-4,210,July 27 1993,us,R,Furman University University of Indianapolis
1,Patrick McCaw\mccawpa01,SG,6-7,185,October 25 1995,us,2,UNLV
20,Jodie Meeks\meeksjo01,SG,6-4,210,August 21 1987,us,9,Kentucky
0,C.J. Miles\milescj01,SF,6-6,220,March 18 1987,us,13,
13,Malcolm Miller\millema01,SF,6-7,210,March 6 1993,us,1,Holy Cross
15,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,8,Georgetown
15,Eric Moreland\moreler01,PF,6-10,238,December 24 1991,us,3,Oregon State
24,Norman Powell\powelno01,SG,6-3,215,May 25 1993,us,3,UCLA
22,Malachi Richardson\richama01,SG,6-6,205,January 5 1996,us,2,Syracuse
43,Pascal Siakam\siakapa01,PF,6-9,230,April 2 1994,cm,2,New Mexico State
17,Jonas Valančiūnas\valanjo01,C,6-11,265,May 6 1992,lt,6,
23,Fred VanVleet\vanvlfr01,PG,6-1,195,February 25 1994,us,2,Wichita State
55,Delon Wright\wrighde01,PG,6-5,183,April 26 1992,us,3,Utah
